"Principal Name","Password","Role","Organization","Full Name"
"psycho1","psycho1","Member","Psychology Dept","psycho1, psycho1(psycho1)"
"psycho2","psycho2","Member","Psychology Dept","psycho2, psycho2(psycho2)"
"psycho3","psycho3","Member","Psychology Dept","psycho3, psycho3(psycho3)"
"psycho4","psycho4","Member","Psychology Dept","psycho4, psycho4(psycho4)"
"psycho5","psycho5","Member","Psychology Dept","psycho5, psycho5(psycho5)"
"psycho6","psycho6","Member","Psychology Dept","psycho6, psycho6(psycho6)"
"psycho7","psycho7","Member","Psychology Dept","psycho7, psycho7(psycho7)"
"psycho8","psycho8","Member","Psychology Dept","psycho8, psycho8(psycho8)"
"psycho9","psycho9","Member","Psychology Dept","psycho9, psycho9(psycho9)"
"psycho10","psycho10","Member","Psychology Dept","psycho10, psycho10(psycho10)"
"psycho11","psycho11","Member","Psychology Dept","psycho11, psycho11(psycho11)"
"psycho12","psycho12","Member","Psychology Dept","psycho12, psycho12(psycho12)"
"psycho13","psycho13","Member","Psychology Dept","psycho13, psycho13(psycho13)"
"psycho14","psycho14","Member","Psychology Dept","psycho14, psycho14(psycho14)"
"psycho15","psycho15","Member","Psychology Dept","psycho15, psycho15(psycho15)"
"psycho_dc1","psycho_dc1","Member of the Psychology COC","Psychology Dept Curriculum Committee","psycho_dc1, psycho_dc1(psycho_dc1)"
"psycho_dc2","psycho_dc2","Member of the Psychology COC","Psychology Dept Curriculum Committee","psycho_dc2, psycho_dc2(psycho_dc2)"
"psycho_dc3","psycho_dc3","Member of the Psychology COC","Psychology Dept Curriculum Committee","psycho_dc3, psycho_dc3(psycho_dc3)"
"psycho_dc4","psycho_dc4","Member of the Psychology COC","Psychology Dept Curriculum Committee","psycho_dc4, psycho_dc4(psycho_dc4)"
"psycho_dc5","psycho_dc5","Member of the Psychology COC","Psychology Dept Curriculum Committee","psycho_dc5, psycho_dc5(psycho_dc5)"
"psycho_dc6","psycho_dc6","Member of the Psychology COC","Psychology Dept Curriculum Committee","psycho_dc6, psycho_dc6(psycho_dc6)"
"psycho_dc7","psycho_dc7","Member of the Psychology COC","Psychology Dept Curriculum Committee","psycho_dc7, psycho_dc7(psycho_dc7)"
"psycho_dc8","psycho_dc8","Member of the Psychology COC","Psychology Dept Curriculum Committee","psycho_dc8, psycho_dc8(psycho_dc8)"
"psycho_dc9","psycho_dc9","Member of the Psychology COC","Psychology Dept Curriculum Committee","psycho_dc9, psycho_dc9(psycho_dc9)"
"psycho_dc10","psycho_dc10","Member of the Psychology COC","Psychology Dept Curriculum Committee","psycho_dc10, psycho_dc10(psycho_dc10)"
"psycho_dchair1","psycho_dchair1","Chair of the Psychology COC","Psychology Dept Curriculum Committee","psycho_dchair1, psycho_dchair1(psycho_dchair1)"
"psycho_dchair1","psycho_dchair1","Chair of the Psychology COC","Psychology Dept Curriculum Committee","psycho_dchair1, psycho_dchair1(psycho_dchair1)"
"psycho_dvc1","psycho_dvc1","Member of the Behavioral Science Division COC","Behavioral Science Division Coc","psycho_dvc1, psycho_dvc1(psycho_dvc1)"
"psycho_dvc2","psycho_dvc2","Member of the Behavioral Science Division COC","Behavioral Science Division Coc","psycho_dvc2, psycho_dvc2(psycho_dvc2)"
"psycho_dvc3","psycho_dvc3","Member of the Behavioral Science Division COC","Behavioral Science Division Coc","psycho_dvc3, psycho_dvc3(psycho_dvc3)"
"psycho_dvc4","psycho_dvc4","Member of the Behavioral Science Division COC","Behavioral Science Division Coc","psycho_dvc4, psycho_dvc4(psycho_dvc4)"
"psycho_dvc5","psycho_dvc5","Member of the Behavioral Science Division COC","Behavioral Science Division Coc","psycho_dvc5, psycho_dvc5(psycho_dvc5)"
"psycho_dvc6","psycho_dvc6","Member of the Behavioral Science Division COC","Behavioral Science Division Coc","psycho_dvc6, psycho_dvc6(psycho_dvc6)"
"psycho_dvc7","psycho_dvc7","Member of the Behavioral Science Division COC","Behavioral Science Division Coc","psycho_dvc7, psycho_dvc7(psycho_dvc7)"
"psycho_dvc8","psycho_dvc8","Member of the Behavioral Science Division COC","Behavioral Science Division Coc","psycho_dvc8, psycho_dvc8(psycho_dvc8)"
"psycho_dvc9","psycho_dvc9","Member of the Behavioral Science Division COC","Behavioral Science Division Coc","psycho_dvc9, psycho_dvc9(psycho_dvc9)"
"psycho_dvc10","psycho_dvc10","Member of the Behavioral Science Division COC","Behavioral Science Division Coc","psycho_dvc10, psycho_dvc10(psycho_dvc10)"
"psycho_dvchair1","psycho_dvchair1","Chair of the Behavioral Science Division COC","Behavioral Science Division Coc","psycho_dvchair1, psycho_dvchair1(psycho_dvchair1)"
"psycho_dvchair2","psycho_dvchair2","Chair of the Behavioral Science Division COC","Behavioral Science Division Coc","psycho_dvchair2, psycho_dvchair2(psycho_dvchair2)"
"psycho_dvchair3","psycho_dvchair3","Chair of the Behavioral Science Division COC","Behavioral Science Division Coc","psycho_dvchair3, psycho_dvchair3(psycho_dvchair3)"
"psycho_dvchair4","psycho_dvchair4","Chair of the Behavioral Science Division COC","Behavioral Science Division Coc","psycho_dvchair4, psycho_dvchair4(psycho_dvchair4)"
"psycho_cc1","psycho_cc1","Member","The College of Behavioral and Social Science COC","psycho_cc1, psycho_cc1(psycho_cc1)"
"psycho_cc2","psycho_cc2","Member","The College of Behavioral and Social Science COC","psycho_cc2, psycho_cc2(psycho_cc2)"
"psycho_cc3","psycho_cc3","Member","The College of Behavioral and Social Science COC","psycho_cc3, psycho_cc3(psycho_cc3)"
"psycho_cc4","psycho_cc4","Member","The College of Behavioral and Social Science COC","psycho_cc4, psycho_cc4(psycho_cc4)"
"psycho_cc5","psycho_cc5","Member","The College of Behavioral and Social Science COC","psycho_cc5, psycho_cc5(psycho_cc5)"
"psycho_cc6","psycho_cc6","Member","The College of Behavioral and Social Science COC","psycho_cc6, psycho_cc6(psycho_cc6)"
"psycho_cc7","psycho_cc7","Member","The College of Behavioral and Social Science COC","psycho_cc7, psycho_cc7(psycho_cc7)"
"psycho_cc8","psycho_cc8","Member","The College of Behavioral and Social Science COC","psycho_cc8, psycho_cc8(psycho_cc8)"
"psycho_cchair1","psycho_cchair1","Chair","The College of Behavioral and Social Science COC","psycho_cchair1, psycho_cchair1(psycho_cchair1)"
"geomem1","geomem1","Member of the Geology Dept","Geology Dept","geomem1, geomem1(geomem1)"
"geomem2","geomem2","Member of the Geology Dept","Geology Dept","geomem2, geomem2(geomem2)"
"geomem3","geomem3","Member of the Geology Dept","Geology Dept","geomem3, geomem3(geomem3)"
"geomem4","geomem4","Member of the Geology Dept","Geology Dept","geomem4, geomem4(geomem4)"
"geomem5","geomem5","Member of the Geology Dept","Geology Dept","geomem5, geomem5(geomem5)"
"geomem6","geomem6","Member of the Geology Dept","Geology Dept","geomem6, geomem6(geomem6)"
"geomem7","geomem7","Member of the Geology Dept","Geology Dept","geomem7, geomem7(geomem7)"
"geomem8","geomem8","Member of the Geology Dept","Geology Dept","geomem8, geomem8(geomem8)"
"geomem9","geomem9","Member of the Geology Dept","Geology Dept","geomem9, geomem9(geomem9)"
"geomem10","geomem10","Member of the Geology Dept","Geology Dept","geomem10, geomem10(geomem10)"
"geomem11","geomem11","Member of the Geology Dept","Geology Dept","geomem11, geomem11(geomem11)"
"geomem12","geomem12","Member of the Geology Dept","Geology Dept","geomem12, geomem12(geomem12)"
"geomem13","geomem13","Member of the Geology Dept","Geology Dept","geomem13, geomem13(geomem13)"
"geomem14","geomem14","Member of the Geology Dept","Geology Dept","geomem14, geomem14(geomem14)"
"geomem15","geomem15","Member of the Geology Dept","Geology Dept","geomem15, geomem15(geomem15)"
"geodc1","geodc1","Member of the Geology COC","Geology Dept Curriculum Committee","geodc1, geodc1(geodc1)"
"geodc2","geodc2","Member of the Geology COC","Geology Dept Curriculum Committee","geodc2, geodc2(geodc2)"
"geodc3","geodc3","Member of the Geology COC","Geology Dept Curriculum Committee","geodc3, geodc3(geodc3)"
"geodc4","geodc4","Member of the Geology COC","Geology Dept Curriculum Committee","geodc4, geodc4(geodc4)"
"geodc5","geodc5","Member of the Geology COC","Geology Dept Curriculum Committee","geodc5, geodc5(geodc5)"
"geodc6","geodc6","Member of the Geology COC","Geology Dept Curriculum Committee","geodc6, geodc6(geodc6)"
"geodc7","geodc7","Member of the Geology COC","Geology Dept Curriculum Committee","geodc7, geodc7(geodc7)"
"geodc8","geodc8","Member of the Geology COC","Geology Dept Curriculum Committee","geodc8, geodc8(geodc8)"
"geodc9","geodc9","Member of the Geology COC","Geology Dept Curriculum Committee","geodc9, geodc9(geodc9)"
"geodc10","geodc10","Member of the Geology COC","Geology Dept Curriculum Committee","geodc10, geodc10(geodc10)"
"geodchair1","geodchair1","Chair of the Geology COC","Geology Dept Curriculum Committee","geodchair1, geodchair1(geodchair1)"
"geodchair2","geodchair2","Chair of the Geology COC","Geology Dept Curriculum Committee","geodchair2, geodchair2(geodchair2)"
"geodvc1","geodvc1","Member of the Chemical Division COC","Chemical Science Division Coc","geodvc1, geodvc1(geodvc1)"
"geodvc2","geodvc2","Member of the Chemical Division COC","Chemical Science Division Coc","geodvc2, geodvc2(geodvc2)"
"geodvc3","geodvc3","Member of the Chemical Division COC","Chemical Science Division Coc","geodvc3, geodvc3(geodvc3)"
"geodvc4","geodvc4","Member of the Chemical Division COC","Chemical Science Division Coc","geodvc4, geodvc4(geodvc4)"
"geodvc5","geodvc5","Member of the Chemical Division COC","Chemical Science Division Coc","geodvc5, geodvc5(geodvc5)"
"geodvc6","geodvc6","Member of the Chemical Division COC","Chemical Science Division Coc","geodvc6, geodvc6(geodvc6)"
"geodvc7","geodvc7","Member of the Chemical Division COC","Chemical Science Division Coc","geodvc7, geodvc7(geodvc7)"
"geodvc8","geodvc8","Member of the Chemical Division COC","Chemical Science Division Coc","geodvc8, geodvc8(geodvc8)"
"geodvc9","geodvc9","Member of the Chemical Division COC","Chemical Science Division Coc","geodvc9, geodvc9(geodvc9)"
"geodvc10","geodvc10","Member of the Chemical Division COC","Chemical Science Division Coc","geodvc10, geodvc10(geodvc10)"
"geodchair1","geodchair1","Chair of the Chemical Division COC","Chemical Science Division Coc","geodchair1, geodchair1(geodchair1)"
"geodchair2","geodchair2","Chair of the Chemical Division COC","Chemical Science Division Coc","geodchair2, geodchair2(geodchair2)"
